Date,GOLD,BTC
2022-01-03,1799.4000244140625,46458.1171875
2022-01-04,1814.0,45897.57421875
2022-01-05,1824.5999755859375,43569.00390625
2022-01-06,1788.699951171875,43160.9296875
2022-01-07,1797.0,41557.90234375
2022-01-10,1798.4000244140625,41821.26171875
2022-01-11,1818.5999755859375,42735.85546875
2022-01-12,1827.199951171875,43949.1015625
2022-01-13,1821.199951171875,42591.5703125
2022-01-14,1816.5,43099.69921875
2022-01-17,1816.5,42250.55078125
2022-01-18,1812.300048828125,42375.6328125
2022-01-19,1843.0999755859375,41744.328125
2022-01-20,1842.5,40680.41796875
2022-01-21,1831.800048828125,36457.31640625
2022-01-24,1841.699951171875,36654.328125
2022-01-25,1852.699951171875,36954.00390625
2022-01-26,1829.9000244140625,36852.12109375
2022-01-27,1793.300048828125,37138.234375
2022-01-28,1784.9000244140625,37784.33203125
2022-01-31,1795.0,38483.125
2022-02-01,1800.300048828125,38743.2734375
2022-02-02,1809.199951171875,36952.984375
2022-02-03,1803.0,37154.6015625
2022-02-04,1806.5999755859375,41500.875
2022-02-07,1820.5999755859375,43840.28515625
2022-02-08,1826.5999755859375,44118.4453125
2022-02-09,1835.199951171875,44338.796875
2022-02-10,1836.199951171875,43565.11328125
2022-02-11,1840.800048828125,42407.9375
2022-02-14,1868.0,42586.91796875
2022-02-15,1854.800048828125,44575.203125
2022-02-16,1870.199951171875,43961.859375
2022-02-17,1900.699951171875,40538.01171875
2022-02-18,1898.5999755859375,40030.9765625
2022-02-21,1898.5999755859375,37075.28125
2022-02-22,1906.0999755859375,38286.02734375
2022-02-23,1909.199951171875,37296.5703125
2022-02-24,1925.0999755859375,38332.609375
2022-02-25,1886.5,39214.21875
2022-02-28,1899.4000244140625,43193.234375
2022-03-01,1942.4000244140625,44354.63671875
2022-03-02,1920.9000244140625,43924.1171875
2022-03-03,1934.4000244140625,42451.7890625
2022-03-04,1965.0999755859375,39137.60546875
2022-03-07,1993.9000244140625,38062.0390625
2022-03-08,2040.0999755859375,38737.26953125
2022-03-09,1985.9000244140625,41982.92578125
2022-03-10,1998.0999755859375,39437.4609375
2022-03-11,1982.699951171875,38794.97265625
2022-03-14,1959.5999755859375,39666.75390625
2022-03-15,1928.5,39338.78515625
2022-03-16,1908.0,41143.9296875
2022-03-17,1942.0999755859375,40951.37890625
2022-03-18,1928.199951171875,41801.15625
2022-03-21,1928.5999755859375,41077.99609375
2022-03-22,1920.699951171875,42358.80859375
2022-03-23,1936.5999755859375,42892.95703125
2022-03-24,1961.5999755859375,43960.93359375
2022-03-25,1953.800048828125,44348.73046875
2022-03-28,1939.5999755859375,47128.00390625
2022-03-29,1912.0,47465.73046875
2022-03-30,1933.5,47062.6640625
2022-03-31,1949.199951171875,45538.67578125
2022-04-01,1919.0999755859375,46281.64453125
2022-04-04,1929.199951171875,46622.67578125
2022-04-05,1922.9000244140625,45555.9921875
2022-04-06,1918.4000244140625,43206.73828125
2022-04-07,1933.800048828125,43503.84765625
2022-04-08,1941.5999755859375,42287.6640625
2022-04-11,1944.300048828125,39521.90234375
2022-04-12,1972.0999755859375,40127.18359375
2022-04-13,1981.0,41166.73046875
2022-04-14,1970.9000244140625,39935.515625
2022-04-15,1970.9000244140625,40553.46484375
2022-04-18,1982.9000244140625,40826.21484375
2022-04-19,1955.699951171875,41502.75
2022-04-20,1952.300048828125,41374.37890625
2022-04-21,1944.9000244140625,40527.36328125
2022-04-22,1931.0,39740.3203125
2022-04-25,1893.199951171875,40458.30859375
2022-04-26,1901.4000244140625,38117.4609375
2022-04-27,1885.9000244140625,39241.12109375
2022-04-28,1888.699951171875,39773.828125
2022-04-29,1909.300048828125,38609.82421875
2022-05-02,1861.800048828125,38529.328125
2022-05-03,1868.800048828125,37750.453125
2022-05-04,1867.0,39698.37109375
2022-05-05,1874.0,36575.140625
2022-05-06,1881.199951171875,36040.921875
2022-05-09,1857.0999755859375,30296.953125
2022-05-10,1839.9000244140625,31022.90625
2022-05-11,1852.5999755859375,28936.35546875
2022-05-12,1823.800048828125,29047.751953125
2022-05-13,1807.4000244140625,29283.103515625
2022-05-16,1813.5,29862.91796875
2022-05-17,1818.199951171875,30425.857421875
2022-05-18,1815.9000244140625,28720.271484375
2022-05-19,1841.199951171875,30314.333984375
2022-05-20,1841.800048828125,29200.740234375
2022-05-23,1847.800048828125,29098.91015625
2022-05-24,1865.0999755859375,29655.5859375
2022-05-25,1846.199951171875,29562.361328125
2022-05-26,1847.4000244140625,29267.224609375
2022-05-27,1851.300048828125,28627.57421875
2022-05-30,1851.300048828125,31726.390625
2022-05-31,1842.699951171875,31792.310546875
2022-06-01,1843.300048828125,29799.080078125
2022-06-02,1866.5,30467.48828125
2022-06-03,1845.4000244140625,29704.390625
2022-06-06,1839.199951171875,31370.671875
2022-06-07,1847.5,31155.478515625
2022-06-08,1851.9000244140625,30214.35546875
2022-06-09,1848.800048828125,30111.998046875
2022-06-10,1871.5,29083.8046875
2022-06-13,1828.0,22487.388671875
2022-06-14,1809.5,22206.79296875
2022-06-15,1815.300048828125,22572.83984375
2022-06-16,1845.699951171875,20381.650390625
2022-06-17,1835.5999755859375,20471.482421875
2022-06-20,1835.5999755859375,20599.537109375
2022-06-21,1834.5999755859375,20710.59765625
2022-06-22,1834.300048828125,19987.029296875
2022-06-23,1825.699951171875,21085.876953125
2022-06-24,1826.5,21231.65625
2022-06-27,1820.9000244140625,20735.478515625
2022-06-28,1817.5,20280.634765625
2022-06-29,1813.699951171875,20104.0234375
2022-06-30,1804.0999755859375,19784.7265625
2022-07-01,1798.9000244140625,19269.3671875
2022-07-04,1798.9000244140625,20231.26171875
2022-07-05,1761.800048828125,20190.115234375
2022-07-06,1734.9000244140625,20548.24609375
2022-07-07,1737.9000244140625,21637.587890625
2022-07-08,1740.5999755859375,21731.1171875
2022-07-11,1730.0,19970.556640625
2022-07-12,1723.300048828125,19323.9140625
2022-07-13,1734.199951171875,20212.07421875
2022-07-14,1704.5,20569.919921875
2022-07-15,1702.4000244140625,20836.328125
2022-07-18,1709.199951171875,22485.689453125
2022-07-19,1710.0,23389.43359375
2022-07-20,1699.5,23231.732421875
2022-07-21,1712.699951171875,23164.62890625
2022-07-22,1727.0999755859375,22714.978515625
2022-07-25,1719.0,21361.701171875
2022-07-26,1717.699951171875,21239.75390625
2022-07-27,1719.0999755859375,22930.548828125
2022-07-28,1750.300048828125,23843.88671875
2022-07-29,1762.9000244140625,23804.6328125
2022-08-01,1769.0,23314.19921875
2022-08-02,1771.0999755859375,22978.1171875
2022-08-03,1758.0,22846.5078125
2022-08-04,1788.5,22630.95703125
2022-08-05,1772.9000244140625,23289.314453125
2022-08-08,1786.800048828125,23809.486328125
2022-08-09,1794.0,23164.318359375
2022-08-10,1795.5999755859375,23947.642578125
2022-08-11,1789.699951171875,23957.529296875
2022-08-12,1798.5999755859375,24402.818359375
2022-08-15,1781.4000244140625,24136.97265625
2022-08-16,1773.199951171875,23883.291015625
2022-08-17,1760.300048828125,23335.998046875
2022-08-18,1755.300048828125,23212.73828125
2022-08-19,1747.5999755859375,20877.552734375
2022-08-22,1734.0,21398.908203125
2022-08-23,1746.800048828125,21528.087890625
2022-08-24,1747.800048828125,21395.01953125
2022-08-25,1757.699951171875,21600.904296875
2022-08-26,1736.0999755859375,20260.01953125
2022-08-29,1736.5999755859375,20297.994140625
2022-08-30,1723.199951171875,19796.80859375
2022-08-31,1712.800048828125,20049.763671875
2022-09-01,1696.5999755859375,20127.140625
2022-09-02,1709.800048828125,19969.771484375
2022-09-05,1709.800048828125,19812.37109375
2022-09-06,1700.4000244140625,18837.66796875
2022-09-07,1715.300048828125,19290.32421875
2022-09-08,1708.0,19329.833984375
2022-09-09,1716.199951171875,21381.15234375
2022-09-12,1728.0999755859375,22370.44921875
2022-09-13,1705.0,20296.70703125
2022-09-14,1696.5,20241.08984375
2022-09-15,1665.4000244140625,19701.2109375
2022-09-16,1671.699951171875,19772.583984375
2022-09-19,1666.199951171875,19544.12890625
2022-09-20,1659.699951171875,18890.7890625
2022-09-21,1664.5999755859375,18547.400390625
2022-09-22,1670.800048828125,19413.55078125
2022-09-23,1645.300048828125,19297.638671875
2022-09-26,1623.300048828125,19222.671875
2022-09-27,1626.699951171875,19110.546875
2022-09-28,1660.4000244140625,19426.720703125
2022-09-29,1658.5,19573.05078125
2022-09-30,1662.4000244140625,19431.7890625
2022-10-03,1692.9000244140625,19623.580078125
2022-10-04,1721.0999755859375,20336.84375
2022-10-05,1711.4000244140625,20160.716796875
2022-10-06,1711.699951171875,19955.443359375
2022-10-07,1700.5,19546.849609375
2022-10-10,1667.300048828125,19141.484375
2022-10-11,1678.699951171875,19051.41796875
2022-10-12,1670.300048828125,19157.4453125
2022-10-13,1670.0,19382.904296875
2022-10-14,1641.699951171875,19185.65625
2022-10-17,1657.0,19550.7578125
2022-10-18,1649.0,19334.416015625
2022-10-19,1627.5,19139.53515625
2022-10-20,1630.800048828125,19053.740234375
2022-10-21,1651.0,19172.46875
2022-10-24,1648.699951171875,19345.572265625
2022-10-25,1652.800048828125,20095.857421875
2022-10-26,1664.0,20770.44140625
2022-10-27,1660.699951171875,20285.8359375
2022-10-28,1639.5999755859375,20595.3515625
2022-10-31,1635.9000244140625,20495.7734375
2022-11-01,1645.0,20485.2734375
2022-11-02,1645.699951171875,20159.50390625
2022-11-03,1627.300048828125,20209.98828125
2022-11-04,1672.5,21147.23046875
2022-11-07,1676.5,20602.81640625
2022-11-08,1712.0999755859375,18541.271484375
2022-11-09,1710.0999755859375,15880.7802734375
2022-11-10,1750.300048828125,17586.771484375
2022-11-11,1766.0,17034.29296875
2022-11-14,1773.5999755859375,16618.19921875
2022-11-15,1773.800048828125,16884.61328125
2022-11-16,1773.0,16669.439453125
2022-11-17,1760.800048828125,16687.517578125
2022-11-18,1751.9000244140625,16697.77734375
2022-11-21,1737.4000244140625,15787.2841796875
2022-11-22,1738.300048828125,16189.76953125
2022-11-23,1744.9000244140625,16610.70703125
2022-11-24,1744.9000244140625,16604.46484375
2022-11-25,1753.300048828125,16521.841796875
2022-11-28,1740.0999755859375,16217.322265625
2022-11-29,1748.4000244140625,16444.982421875
2022-11-30,1746.0,17168.56640625
2022-12-01,1801.0999755859375,16967.1328125
2022-12-02,1795.9000244140625,17088.66015625
2022-12-05,1767.4000244140625,16974.826171875
2022-12-06,1769.300048828125,17089.50390625
2022-12-07,1785.5,16848.126953125
2022-12-08,1788.699951171875,17233.474609375
2022-12-09,1798.0999755859375,17133.15234375
2022-12-12,1780.5,17206.4375
2022-12-13,1813.9000244140625,17781.318359375
2022-12-14,1807.5,17815.650390625
2022-12-15,1777.199951171875,17364.865234375
2022-12-16,1790.0,16647.484375
2022-12-19,1787.699951171875,16439.6796875
2022-12-20,1815.9000244140625,16906.3046875
2022-12-21,1815.9000244140625,16817.53515625
2022-12-22,1787.0,16830.341796875
2022-12-23,1795.9000244140625,16796.953125
2022-12-26,1795.9000244140625,16919.8046875
2022-12-27,1814.800048828125,16717.173828125
2022-12-28,1807.9000244140625,16552.572265625
2022-12-29,1819.5,16642.341796875
2022-12-30,1819.699951171875,16602.5859375
2023-01-02,1819.699951171875,16688.470703125
2023-01-03,1839.699951171875,16679.857421875
2023-01-04,1852.800048828125,16863.23828125
2023-01-05,1834.800048828125,16836.736328125
2023-01-06,1864.199951171875,16951.96875
2023-01-09,1872.699951171875,17196.5546875
2023-01-10,1871.5999755859375,17446.29296875
2023-01-11,1874.5999755859375,17934.896484375
2023-01-12,1895.5,18869.587890625
2023-01-13,1918.4000244140625,19909.57421875
2023-01-16,1918.4000244140625,21169.6328125
2023-01-17,1907.199951171875,21161.51953125
2023-01-18,1904.4000244140625,20688.78125
2023-01-19,1922.0999755859375,21086.79296875
2023-01-20,1926.4000244140625,22676.552734375
2023-01-23,1927.0999755859375,22934.431640625
2023-01-24,1933.9000244140625,22636.46875
2023-01-25,1941.199951171875,23117.859375
2023-01-26,1929.0999755859375,23032.77734375
2023-01-27,1928.5999755859375,23078.728515625
2023-01-30,1922.9000244140625,22840.138671875
2023-01-31,1929.5,23139.283203125
2023-02-01,1927.800048828125,23723.76953125
2023-02-02,1916.300048828125,23471.87109375
2023-02-03,1862.9000244140625,23449.322265625
2023-02-06,1866.199951171875,22760.109375
2023-02-07,1871.699951171875,23264.291015625
2023-02-08,1877.4000244140625,22939.3984375
2023-02-09,1866.199951171875,21819.0390625
2023-02-10,1862.800048828125,21651.18359375
2023-02-13,1851.9000244140625,21808.1015625
2023-02-14,1854.0,22220.8046875
2023-02-15,1834.199951171875,24307.841796875
2023-02-16,1842.0,23623.474609375
2023-02-17,1840.4000244140625,24565.6015625
2023-02-20,1840.4000244140625,24829.1484375
2023-02-21,1833.0,24436.353515625
2023-02-22,1832.0,24188.84375
2023-02-23,1818.0,23947.4921875
2023-02-24,1808.800048828125,23198.126953125
2023-02-27,1817.0,23522.87109375
2023-02-28,1828.9000244140625,23147.353515625
2023-03-01,1837.699951171875,23646.55078125
2023-03-02,1833.5,23475.466796875
2023-03-03,1847.699951171875,22362.6796875
2023-03-06,1847.9000244140625,22429.7578125
2023-03-07,1813.9000244140625,22219.76953125
2023-03-08,1812.699951171875,21718.080078125
2023-03-09,1829.300048828125,20363.021484375
2023-03-10,1862.0,20187.244140625
2023-03-13,1911.699951171875,24197.533203125
2023-03-14,1906.199951171875,24746.07421875
2023-03-15,1926.5999755859375,24375.9609375
2023-03-16,1919.0,25052.7890625
2023-03-17,1969.800048828125,27423.9296875
2023-03-20,1979.199951171875,27767.236328125
2023-03-21,1938.0,28175.81640625
2023-03-22,1946.800048828125,27307.4375
2023-03-23,1993.800048828125,28333.97265625
2023-03-24,1982.0999755859375,27493.28515625
2023-03-27,1952.4000244140625,27139.888671875
2023-03-28,1972.4000244140625,27268.130859375
2023-03-29,1966.0999755859375,28348.44140625
2023-03-30,1980.300048828125,28033.5625
2023-03-31,1969.0,28478.484375
2023-04-03,1983.9000244140625,27790.220703125
2023-04-04,2022.199951171875,28168.08984375
2023-04-05,2020.9000244140625,28177.984375
2023-04-06,2011.9000244140625,28044.140625
2023-04-07,2011.9000244140625,27925.859375
2023-04-10,1989.0999755859375,29652.98046875
2023-04-11,2004.800048828125,30235.05859375
2023-04-12,2010.9000244140625,30139.052734375
2023-04-13,2041.300048828125,30399.06640625
2023-04-14,2002.199951171875,30485.69921875
2023-04-17,1994.199951171875,29445.044921875
2023-04-18,2007.4000244140625,30397.552734375
2023-04-19,1995.199951171875,28822.6796875
2023-04-20,2007.5999755859375,28245.98828125
2023-04-21,1979.5,27276.91015625
2023-04-24,1989.0999755859375,27525.33984375
2023-04-25,1994.0,28307.59765625
2023-04-26,1985.699951171875,28422.701171875
2023-04-27,1989.9000244140625,29473.787109375
2023-04-28,1990.0999755859375,29340.26171875
2023-05-01,1983.4000244140625,28091.568359375
2023-05-02,2014.300048828125,28680.537109375
2023-05-03,2028.5999755859375,29006.30859375
2023-05-04,2048.0,28847.7109375
2023-05-05,2017.4000244140625,29534.384765625
2023-05-08,2026.300048828125,27694.2734375
2023-05-09,2036.199951171875,27658.775390625
2023-05-10,2030.5,27621.755859375
2023-05-11,2014.699951171875,27000.7890625
2023-05-12,2014.5,26804.990234375
2023-05-15,2018.0,27192.693359375
2023-05-16,1988.4000244140625,27036.650390625
2023-05-17,1980.699951171875,27398.802734375
2023-05-18,1956.5,26832.208984375
2023-05-19,1978.699951171875,26890.12890625
2023-05-22,1974.800048828125,26851.27734375
2023-05-23,1972.4000244140625,27225.7265625
2023-05-24,1962.800048828125,26334.818359375
2023-05-25,1943.0999755859375,26476.20703125
2023-05-26,1944.0999755859375,26719.291015625
2023-05-29,1944.0999755859375,27745.884765625
2023-05-30,1958.0,27702.349609375
2023-05-31,1963.9000244140625,27219.658203125
2023-06-01,1978.0,26819.97265625
2023-06-02,1952.4000244140625,27249.58984375
2023-06-05,1958.0,25760.09765625
2023-06-06,1965.5,27238.783203125
2023-06-07,1942.699951171875,26345.998046875
2023-06-08,1963.5999755859375,26508.216796875
2023-06-09,1962.199951171875,26480.375
2023-06-12,1955.300048828125,25902.5
2023-06-13,1944.5999755859375,25918.728515625
2023-06-14,1955.300048828125,25124.67578125
2023-06-15,1957.800048828125,25576.39453125
2023-06-16,1958.4000244140625,26327.462890625
2023-06-19,1958.4000244140625,26851.029296875
2023-06-20,1935.5,28327.48828125
2023-06-21,1933.300048828125,30027.296875
2023-06-22,1912.699951171875,29912.28125
2023-06-23,1919.0999755859375,30695.46875
